tier,model,model_label,model_family,target,n_samples,n_features,cv,mae,rmse,r2,exact_acc,band_acc,mean_band_distance,mean_norm_score_distance,mean_norm_band_distance,f1_macro,f1_weighted,f1_low,f1_moderate,f1_high,agent_family
geo,DeepSeek v2,,,gt_interpersonal_ca,241,,,5.203319502074689,,,0.07883817427385892,0.34024896265560167,,,,0.2846312909588344,0.3099328844708415,0.31952662721893493,0.4112903225806452,0.12307692307692308,llm
transit,DeepSeek v2,,,gt_group_ca,240,,,4.966666666666667,,,0.07083333333333333,0.35833333333333334,,,,0.2672674624322119,0.32424232577283857,0.4251207729468599,0.37668161434977576,0.0,llm
transit,DeepSeek v2,,,gt_interpersonal_ca,240,,,5.0875,,,0.0375,0.3625,,,,0.26271876271876277,0.3115766178266179,0.3516483516483517,0.4365079365079365,0.0,llm
demos,Llama-3.1 v1,,,gt_group_ca,241,,,6.049792531120332,,,0.06224066390041494,0.2572614107883817,,,,0.14881100339713316,0.11130707972725294,0.0,0.40939597315436244,0.037037037037037035,llm
demos,Llama-3.1 v1,,,gt_interpersonal_ca,241,,,4.668049792531121,,,0.12863070539419086,0.5186721991701245,,,,0.228310502283105,0.363781049280964,0.684931506849315,0.0,0.0,llm
employment,Llama-3.1 v1,,,gt_group_ca,241,,,6.033195020746888,,,0.058091286307053944,0.25311203319502074,,,,0.13510520487264674,0.10259025930163632,0.0,0.4053156146179402,0.0,llm
employment,Llama-3.1 v1,,,gt_interpersonal_ca,241,,,4.734439834024896,,,0.12448132780082988,0.5186721991701245,,,,0.228310502283105,0.363781049280964,0.684931506849315,0.0,0.0,llm
full,Llama-3.1 v1,,,gt_group_ca,241,,,5.842323651452282,,,0.06639004149377593,0.3775933609958506,,,,0.2829312652645281,0.3530277506614342,0.4944649446494465,0.2802547770700637,0.07407407407407407,llm
full,Llama-3.1 v1,,,gt_interpersonal_ca,241,,,6.921161825726141,,,0.04979253112033195,0.29045643153526973,,,,0.2707977207977208,0.31796645033159554,0.41346153846153844,0.24615384615384617,0.1527777777777778,llm
geo,Llama-3.1 v1,,,gt_group_ca,241,,,6.016597510373444,,,0.058091286307053944,0.25311203319502074,,,,0.1346578366445916,0.10225055645626666,0.0,0.40397350993377484,0.0,llm
geo,Llama-3.1 v1,,,gt_interpersonal_ca,241,,,4.626556016597511,,,0.12863070539419086,0.5311203319502075,,,,0.23125564588979222,0.36847372623103825,0.6937669376693767,0.0,0.0,llm
transit,Llama-3.1 v1,,,gt_group_ca,241,,,5.676348547717843,,,0.058091286307053944,0.2987551867219917,,,,0.21745759894783245,0.2392962169122287,0.25906735751295334,0.39330543933054396,0.0,llm
transit,Llama-3.1 v1,,,gt_interpersonal_ca,241,,,8.174273858921161,,,0.02074688796680498,0.15352697095435686,,,,0.14066756473581798,0.10299692240043308,0.015384615384615385,0.1984732824427481,0.2081447963800905,llm
demos,Llama-3.1 v2,,,gt_group_ca,241,,,6.1161825726141075,,,0.06224066390041494,0.24896265560165975,,,,0.1616499442586399,0.15578206747248782,0.11538461538461539,0.3695652173913043,0.0,llm
demos,Llama-3.1 v2,,,gt_interpersonal_ca,241,,,8.452282157676349,,,0.024896265560165973,0.1950207468879668,,,,0.1308156963169391,0.09507499475741439,0.058823529411764705,0.028169014084507043,0.3054545454545455,llm
employment,Llama-3.1 v2,,,gt_group_ca,241,,,5.668049792531121,,,0.058091286307053944,0.3070539419087137,,,,0.22578769910475527,0.25977752273329213,0.30851063829787234,0.36885245901639346,0.0,llm
employment,Llama-3.1 v2,,,gt_interpersonal_ca,241,,,8.493775933609959,,,0.024896265560165973,0.18672199170124482,,,,0.11539601692403051,0.07892841459826787,0.045112781954887216,0.0,0.3010752688172043,llm
full,Llama-3.1 v2,,,gt_group_ca,241,,,6.419087136929461,,,0.06224066390041494,0.36099585062240663,,,,0.26519442291952866,0.3344576983642149,0.47686832740213525,0.24324324324324326,0.07547169811320754,llm
full,Llama-3.1 v2,,,gt_interpersonal_ca,241,,,7.161825726141079,,,0.04149377593360996,0.26556016597510373,,,,0.2605386416861826,0.28439270409204426,0.3333333333333333,0.2459016393442623,0.20238095238095238,llm
geo,Llama-3.1 v2,,,gt_group_ca,241,,,5.8879668049792535,,,0.05394190871369295,0.26556016597510373,,,,0.16749143509706887,0.1581344069801787,0.10810810810810811,0.39436619718309857,0.0,llm
geo,Llama-3.1 v2,,,gt_interpersonal_ca,241,,,5.788381742738589,,,0.1037344398340249,0.43983402489626555,,,,0.3376779891595732,0.4001194465560493,0.6007905138339921,0.05555555555555555,0.35668789808917195,llm
transit,Llama-3.1 v2,,,gt_group_ca,240,,,5.858333333333333,,,0.05416666666666667,0.3125,,,,0.2322597538622676,0.2715010473946059,0.3283582089552239,0.3684210526315789,0.0,llm
transit,Llama-3.1 v2,,,gt_interpersonal_ca,240,,,8.233333333333333,,,0.016666666666666666,0.19583333333333333,,,,0.1882019211679724,0.16302106717979262,0.1095890410958904,0.21153846153846154,0.24347826086956523,llm
demos,Llama-3.2-3B v1,,,gt_group_ca,241,,,5.5850622406639,,,0.08298755186721991,0.5394190871369294,,,,0.23360287511230907,0.3780295489369317,0.7008086253369272,0.0,0.0,llm
