agent_family,model,tier,side,n,band_accuracy,f1_macro,f1_low,f1_moderate,f1_high,mean_band_distance,auc_high_vs_low,auc_ordinal_ovo
llm,DeepSeek v1,employment,interpersonal,241,0.36099585062240663,0.3475903689572189,0.37894736842105264,0.3781094527363184,0.2857142857142857,0.7593360995850622,0.5864701704545454,0.5564004515261308
llm,DeepSeek v1,geo,group,240,0.3333333333333333,0.24349507735583686,0.4388185654008439,0.2916666666666667,0.0,0.7666666666666667,0.4303875968992248,0.4565717795569111
llm,DeepSeek v1,geo,interpersonal,240,0.32083333333333336,0.26885658261971107,0.3417085427135678,0.3791469194312796,0.08571428571428572,0.8125,0.41213314244810306,0.44086361734427465
llm,DeepSeek v1,transit,group,240,0.3625,0.2688528402814117,0.3877551020408163,0.4188034188034188,0.0,0.7083333333333334,0.426124031007752,0.44917227940864995
llm,DeepSeek v1,transit,interpersonal,240,0.35,0.28826952993601057,0.42290748898678415,0.3402061855670103,0.1016949152542373,0.7666666666666667,0.4541015625,0.46939756016042783
llm,DeepSeek v2,demos,group,241,0.36099585062240663,0.26298255927885555,0.4609053497942387,0.328042328042328,0.0,0.7510373443983402,0.4511538461538461,0.4695229087852038
llm,DeepSeek v2,demos,interpersonal,241,0.3236514522821577,0.28070175438596495,0.2823529411764706,0.3843137254901961,0.17543859649122806,0.7012448132780082,0.6131036931818181,0.5741509867698726
llm,DeepSeek v2,employment,group,240,0.37916666666666665,0.2776694633690406,0.4769874476987448,0.35602094240837695,0.0,0.7291666666666666,0.4696124031007751,0.47963443046553983
llm,DeepSeek v2,employment,interpersonal,240,0.30416666666666664,0.2220360939873135,0.2073170731707317,0.4230769230769231,0.03571428571428571,0.7666666666666667,0.41893342877594847,0.44743134874939045
llm,DeepSeek v2,geo,group,241,0.35684647302904565,0.2768823466057523,0.3978494623655914,0.3950617283950617,0.03773584905660377,0.6763485477178424,0.5653846153846154,0.5433963850357292
llm,DeepSeek v2,geo,interpersonal,241,0.34024896265560167,0.2846312909588344,0.31952662721893493,0.4112903225806452,0.12307692307692308,0.7136929460580913,0.5893110795454545,0.5573611454216074
llm,DeepSeek v2,transit,group,240,0.35833333333333334,0.2672674624322119,0.4251207729468599,0.37668161434977576,0.0,0.7041666666666667,0.5274418604651163,0.5176875503028763
llm,DeepSeek v2,transit,interpersonal,240,0.3625,0.26271876271876277,0.3516483516483517,0.4365079365079365,0.0,0.6833333333333333,0.4884574087329993,0.4908149450686253
llm,Llama-3.1 v1,demos,group,241,0.2572614107883817,0.14881100339713316,0.0,0.40939597315436244,0.037037037037037035,0.7551867219917012,0.49846153846153846,0.498974358974359
llm,Llama-3.1 v1,demos,interpersonal,241,0.5186721991701245,0.228310502283105,0.684931506849315,0.0,0.0,0.6597510373443983,0.49964488636363635,0.49976325757575757
llm,Llama-3.1 v1,employment,group,241,0.25311203319502074,0.13510520487264674,0.0,0.4053156146179402,0.0,0.7510373443983402,0.49615384615384617,0.49743589743589745
llm,Llama-3.1 v1,employment,interpersonal,241,0.5186721991701245,0.228310502283105,0.684931506849315,0.0,0.0,0.6721991701244814,0.48828125,0.4922063707729469
llm,Llama-3.1 v1,geo,group,241,0.25311203319502074,0.1346578366445916,0.0,0.40397350993377484,0.0,0.7468879668049793,0.5,0.5
llm,Llama-3.1 v1,geo,interpersonal,241,0.5311203319502075,0.23125564588979222,0.6937669376693767,0.0,0.0,0.6514522821576764,0.5,0.5
llm,Llama-3.1 v1,transit,group,241,0.2987551867219917,0.21745759894783245,0.25906735751295334,0.39330543933054396,0.0,0.8008298755186722,0.380076923076923,0.42145060949978985
llm,Llama-3.1 v1,transit,interpersonal,241,0.15352697095435686,0.14066756473581798,0.015384615384615385,0.1984732824427481,0.2081447963800905,1.2572614107883817,0.3815696022727273,0.4205188776350461
llm,Llama-3.1 v2,demos,group,241,0.24896265560165975,0.1616499442586399,0.11538461538461539,0.3695652173913043,0.0,0.7800829875518672,0.45276923076923076,0.46718200924758296
