group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Age,35.0,transit,6,6,4.5,4.5,-1.8333333333333333,2.1666666666666665,0.6666666666666666,0.16666666666666666
Age,36.0,demos,6,6,3.1666666666666665,4.5,-2.1666666666666665,1.8333333333333333,0.6666666666666666,0.3333333333333333
Age,36.0,employment,6,6,3.1666666666666665,4.5,-2.1666666666666665,1.8333333333333333,0.6666666666666666,0.3333333333333333
Age,36.0,full,6,6,3.1666666666666665,4.166666666666667,-1.5,1.5,0.6666666666666666,0.16666666666666666
Age,36.0,geo,6,6,3.1666666666666665,4.5,-2.1666666666666665,1.8333333333333333,0.6666666666666666,0.3333333333333333
Age,36.0,transit,6,6,2.5,5.166666666666667,-0.8333333333333334,3.1666666666666665,0.6666666666666666,0.3333333333333333
Age,37.0,demos,9,9,6.111111111111111,5.777777777777778,-5.444444444444445,0.8888888888888888,0.4444444444444444,0.1111111111111111
Age,37.0,employment,9,9,4.777777777777778,6.666666666666667,-4.111111111111111,2.6666666666666665,0.6666666666666666,0.2222222222222222
Age,37.0,full,9,9,4.333333333333333,7.555555555555555,-3.6666666666666665,1.7777777777777777,0.6666666666666666,0.2222222222222222
Age,37.0,geo,9,9,4.777777777777778,6.666666666666667,-4.111111111111111,2.6666666666666665,0.6666666666666666,0.2222222222222222
Age,37.0,transit,9,9,4.555555555555555,6.888888888888889,-3.888888888888889,2.0,0.6666666666666666,0.2222222222222222
Age,38.0,demos,4,4,1.75,4.75,-1.75,4.75,0.75,0.0
Age,38.0,employment,4,4,1.75,4.75,-1.75,4.75,0.75,0.0
Age,38.0,full,4,4,1.25,5.25,-1.25,5.25,0.75,0.0
Age,38.0,geo,4,4,1.75,4.75,-1.75,4.75,0.75,0.0
Age,38.0,transit,4,4,1.25,5.25,-1.25,5.25,0.75,0.0
Age,39.0,demos,12,12,5.083333333333333,6.083333333333333,-4.75,1.9166666666666667,0.6666666666666666,0.0
Age,39.0,employment,12,12,5.083333333333333,6.083333333333333,-4.75,1.9166666666666667,0.6666666666666666,0.0
Age,39.0,full,12,12,5.25,5.25,-4.25,0.5833333333333334,0.5833333333333334,0.25
Age,39.0,geo,12,12,5.083333333333333,6.083333333333333,-4.75,1.9166666666666667,0.6666666666666666,0.0
Age,39.0,transit,12,12,5.25,5.916666666666667,-4.583333333333333,1.75,0.6666666666666666,0.08333333333333333
Age,40.0,demos,5,5,3.6,4.4,-3.6,4.0,0.6,0.2
Age,40.0,employment,5,5,3.6,4.4,-3.6,4.0,0.6,0.2
Age,40.0,full,5,5,3.2,4.8,-2.4,4.4,0.4,0.2
Age,40.0,geo,5,5,3.6,4.4,-3.6,4.0,0.6,0.2
Age,40.0,transit,5,5,3.2,4.8,-3.2,4.4,0.6,0.2
Age,41.0,demos,9,9,6.555555555555555,4.888888888888889,-4.111111111111111,4.222222222222222,0.5555555555555556,0.3333333333333333
Age,41.0,employment,9,9,7.222222222222222,5.777777777777778,-3.4444444444444446,5.111111111111111,0.4444444444444444,0.3333333333333333
Age,41.0,full,9,9,7.444444444444445,6.888888888888889,-1.8888888888888888,5.333333333333333,0.3333333333333333,0.2222222222222222
Age,41.0,geo,9,9,7.444444444444445,5.555555555555555,-3.2222222222222223,4.888888888888889,0.4444444444444444,0.3333333333333333
Age,41.0,transit,9,9,7.0,6.222222222222222,-3.2222222222222223,4.666666666666667,0.4444444444444444,0.2222222222222222
Age,42.0,demos,8,8,9.125,7.125,-7.125,1.625,0.5,0.125
Age,42.0,employment,8,8,9.125,7.125,-7.125,1.625,0.5,0.125
Age,42.0,full,8,8,8.875,7.125,-6.875,0.625,0.5,0.25
Age,42.0,geo,8,8,9.125,7.125,-7.125,1.625,0.5,0.125
Age,42.0,transit,8,8,9.125,7.625,-7.125,1.125,0.5,0.125
Age,43.0,demos,5,5,7.4,5.0,-5.4,1.4,0.6,0.2
Age,43.0,employment,5,5,9.0,6.2,-3.8,2.6,0.4,0.2
Age,43.0,full,5,5,9.0,8.6,-3.8,1.8,0.4,0.0
Age,43.0,geo,5,5,9.0,6.2,-3.8,2.6,0.4,0.2
Age,43.0,transit,5,5,8.6,7.8,-4.2,1.0,0.4,0.0
Age,44.0,demos,6,6,2.1666666666666665,5.166666666666667,0.16666666666666666,5.166666666666667,0.8333333333333334,0.3333333333333333
Age,44.0,employment,6,6,2.1666666666666665,5.166666666666667,0.16666666666666666,5.166666666666667,0.8333333333333334,0.3333333333333333
Age,44.0,full,6,6,2.8333333333333335,5.833333333333333,0.8333333333333334,4.5,0.8333333333333334,0.3333333333333333
Age,44.0,geo,6,6,2.1666666666666665,5.166666666666667,0.16666666666666666,5.166666666666667,0.8333333333333334,0.3333333333333333
Age,44.0,transit,6,6,2.5,4.833333333333333,0.5,4.833333333333333,0.8333333333333334,0.5
Age,45.0,demos,5,5,7.8,6.4,-7.0,-0.4,0.6,0.0
Age,45.0,employment,5,5,7.8,6.4,-7.0,-0.4,0.6,0.0
Age,45.0,full,5,5,7.8,4.8,-7.0,-2.0,0.6,0.4
Age,45.0,geo,5,5,7.8,6.4,-7.0,-0.4,0.6,0.0
Age,45.0,transit,5,5,7.8,6.4,-7.0,-2.0,0.6,0.2
Age,46.0,demos,4,4,3.0,4.5,-3.0,3.5,0.75,0.5
Age,46.0,employment,4,4,3.0,4.5,-3.0,3.5,0.75,0.5
Age,46.0,full,4,4,2.5,5.0,-2.5,4.0,0.75,0.5
Age,46.0,geo,4,4,3.0,4.5,-3.0,3.5,0.75,0.5
Age,46.0,transit,4,4,3.0,4.5,-3.0,3.5,0.75,0.5
Age,47.0,demos,3,3,1.6666666666666667,2.6666666666666665,-1.6666666666666667,2.6666666666666665,1.0,0.3333333333333333
Age,47.0,employment,3,3,1.6666666666666667,2.6666666666666665,-1.6666666666666667,2.6666666666666665,1.0,0.3333333333333333
Age,47.0,full,3,3,1.6666666666666667,2.6666666666666665,-1.6666666666666667,2.6666666666666665,1.0,0.3333333333333333
Age,47.0,geo,3,3,1.6666666666666667,3.3333333333333335,-1.6666666666666667,3.3333333333333335,1.0,0.3333333333333333
Age,47.0,transit,3,3,1.6666666666666667,2.6666666666666665,-1.6666666666666667,2.6666666666666665,1.0,0.3333333333333333
Age,48.0,demos,3,3,4.0,4.333333333333333,-1.3333333333333333,3.0,0.6666666666666666,0.3333333333333333
Age,48.0,employment,3,3,4.0,4.333333333333333,-1.3333333333333333,3.0,0.6666666666666666,0.3333333333333333
Age,48.0,full,3,3,4.0,5.666666666666667,-1.3333333333333333,1.6666666666666667,0.6666666666666666,0.0
Age,48.0,geo,3,3,4.0,4.333333333333333,-1.3333333333333333,3.0,0.6666666666666666,0.3333333333333333
Age,48.0,transit,3,3,4.0,4.333333333333333,-1.3333333333333333,3.0,0.6666666666666666,0.3333333333333333
Age,49.0,demos,1,1,6.0,2.0,-6.0,2.0,0.0,1.0
Age,49.0,employment,1,1,6.0,2.0,-6.0,2.0,0.0,1.0
Age,49.0,full,1,1,6.0,2.0,-6.0,2.0,0.0,1.0
Age,49.0,geo,1,1,6.0,2.0,-6.0,2.0,0.0,1.0
Age,49.0,transit,1,1,6.0,2.0,-6.0,2.0,0.0,1.0
Age,50.0,demos,5,5,5.2,5.4,-5.2,1.4,0.4,0.2
Age,50.0,employment,5,5,5.2,5.4,-5.2,1.4,0.4,0.2
Age,50.0,full,5,5,4.8,5.4,-4.8,-0.2,0.4,0.4
Age,50.0,geo,5,5,5.2,5.4,-5.2,1.4,0.4,0.2
Age,50.0,transit,5,5,5.2,5.4,-5.2,1.4,0.4,0.2
Age,51.0,demos,2,2,2.0,7.0,-1.0,7.0,1.0,0.0
Age,51.0,employment,2,2,2.0,7.0,-1.0,7.0,1.0,0.0
Age,51.0,full,2,2,2.0,5.0,-1.0,5.0,1.0,0.5
Age,51.0,geo,2,2,2.0,7.0,-1.0,7.0,1.0,0.0
Age,51.0,transit,2,2,2.0,7.0,-1.0,7.0,1.0,0.0
Age,52.0,demos,1,1,2.0,4.0,-2.0,4.0,1.0,0.0
Age,52.0,employment,1,1,2.0,4.0,-2.0,4.0,1.0,0.0
Age,52.0,full,1,1,2.0,4.0,-2.0,4.0,1.0,0.0
Age,52.0,geo,1,1,2.0,4.0,-2.0,4.0,1.0,0.0
Age,52.0,transit,1,1,2.0,4.0,-2.0,4.0,1.0,0.0
Age,53.0,demos,6,6,4.333333333333333,3.6666666666666665,-4.0,3.6666666666666665,0.5,0.3333333333333333
Age,53.0,employment,6,6,4.333333333333333,4.0,-4.0,4.0,0.5,0.3333333333333333
Age,53.0,full,6,6,5.333333333333333,6.0,-3.0,2.3333333333333335,0.3333333333333333,0.16666666666666666
Age,53.0,geo,6,6,5.666666666666667,4.666666666666667,-2.6666666666666665,4.666666666666667,0.3333333333333333,0.3333333333333333
Age,53.0,transit,6,6,5.333333333333333,5.333333333333333,-3.0,3.0,0.3333333333333333,0.16666666666666666
Age,54.0,demos,2,2,4.5,5.5,-0.5,5.5,0.5,0.5
Age,54.0,employment,2,2,4.5,5.5,-0.5,5.5,0.5,0.5
Age,54.0,full,2,2,4.5,4.5,-0.5,1.5,0.5,0.5
Age,54.0,geo,2,2,4.5,5.5,-0.5,5.5,0.5,0.5
Age,54.0,transit,2,2,4.5,4.5,-0.5,1.5,0.5,0.5
Age,56.0,demos,6,6,6.166666666666667,5.333333333333333,-3.8333333333333335,4.333333333333333,0.5,0.5
Age,56.0,employment,6,6,6.166666666666667,5.333333333333333,-3.8333333333333335,4.333333333333333,0.5,0.5
Age,56.0,full,6,6,6.166666666666667,5.333333333333333,-3.8333333333333335,4.333333333333333,0.5,0.5
Age,56.0,geo,6,6,6.166666666666667,5.333333333333333,-3.8333333333333335,4.333333333333333,0.5,0.5
Age,56.0,transit,6,6,6.166666666666667,5.333333333333333,-3.8333333333333335,4.333333333333333,0.5,0.5
Age,58.0,demos,2,2,12.0,0.5,-12.0,-0.5,0.0,1.0
Age,58.0,employment,2,2,12.0,0.5,-12.0,-0.5,0.0,1.0
Age,58.0,full,2,2,11.0,0.5,-11.0,-0.5,0.0,1.0
Age,58.0,geo,2,2,12.0,0.5,-12.0,-0.5,0.0,1.0
Age,58.0,transit,2,2,12.0,0.5,-12.0,-0.5,0.0,1.0
Age,59.0,demos,1,1,0.0,7.0,0.0,7.0,1.0,0.0
Age,59.0,employment,1,1,0.0,7.0,0.0,7.0,1.0,0.0
Age,59.0,full,1,1,0.0,3.0,0.0,3.0,1.0,1.0
Age,59.0,geo,1,1,0.0,7.0,0.0,7.0,1.0,0.0
Age,59.0,transit,1,1,6.0,13.0,6.0,13.0,0.0,0.0
Age,60.0,demos,3,3,2.6666666666666665,4.666666666666667,-2.6666666666666665,4.666666666666667,0.6666666666666666,0.0
Age,60.0,employment,3,3,2.6666666666666665,4.666666666666667,-2.6666666666666665,4.666666666666667,0.6666666666666666,0.0
Age,60.0,full,3,3,2.6666666666666665,2.0,-2.6666666666666665,2.0,0.6666666666666666,0.6666666666666666
Age,60.0,geo,3,3,2.6666666666666665,4.666666666666667,-2.6666666666666665,4.666666666666667,0.6666666666666666,0.0
Age,60.0,transit,3,3,2.6666666666666665,3.3333333333333335,-2.6666666666666665,3.3333333333333335,0.6666666666666666,0.3333333333333333
Age,61.0,demos,2,2,5.0,6.5,-5.0,3.5,0.5,0.5
Age,61.0,employment,2,2,5.0,6.5,-5.0,3.5,0.5,0.5
Age,61.0,full,2,2,5.0,8.5,-5.0,-2.5,0.5,0.5
Age,61.0,geo,2,2,5.0,8.5,-5.0,1.5,0.5,0.0
Age,61.0,transit,2,2,5.0,6.5,-5.0,-0.5,0.5,0.5
Age,62.0,demos,3,3,9.666666666666666,4.333333333333333,-9.666666666666666,-1.0,0.0,0.3333333333333333
Age,62.0,employment,3,3,9.666666666666666,4.333333333333333,-9.666666666666666,-1.0,0.0,0.3333333333333333
Age,62.0,full,3,3,9.666666666666666,4.333333333333333,-9.666666666666666,-1.0,0.0,0.3333333333333333
Age,62.0,geo,3,3,9.666666666666666,4.333333333333333,-9.666666666666666,-1.0,0.0,0.3333333333333333
Age,62.0,transit,3,3,9.666666666666666,5.666666666666667,-9.666666666666666,-2.3333333333333335,0.0,0.3333333333333333
Age,63.0,demos,2,2,5.5,7.0,-5.5,3.0,0.5,0.0
Age,63.0,employment,2,2,5.5,7.0,-5.5,3.0,0.5,0.0
Age,63.0,full,2,2,5.5,7.0,-5.5,-1.0,0.5,0.5
Age,63.0,geo,2,2,5.5,9.0,-5.5,1.0,0.5,0.0
Age,63.0,transit,2,2,5.5,7.0,-5.5,-1.0,0.5,0.5
Age,64.0,demos,3,3,4.0,5.0,-2.6666666666666665,5.0,0.3333333333333333,0.3333333333333333
Age,64.0,employment,3,3,4.0,5.0,-2.6666666666666665,5.0,0.3333333333333333,0.3333333333333333
Age,64.0,full,3,3,4.0,1.6666666666666667,-2.6666666666666665,1.0,0.3333333333333333,1.0
Age,64.0,geo,3,3,4.0,2.3333333333333335,-2.6666666666666665,2.3333333333333335,0.3333333333333333,1.0
Age,64.0,transit,3,3,4.0,2.3333333333333335,-2.6666666666666665,2.3333333333333335,0.3333333333333333,1.0
Age,65.0,demos,1,1,2.0,9.0,2.0,9.0,1.0,0.0
Age,65.0,employment,1,1,2.0,9.0,2.0,9.0,1.0,0.0
Age,65.0,full,1,1,2.0,9.0,2.0,9.0,1.0,0.0
Age,65.0,geo,1,1,2.0,9.0,2.0,9.0,1.0,0.0
Age,65.0,transit,1,1,2.0,9.0,2.0,9.0,1.0,0.0
Age,66.0,demos,2,2,4.5,1.5,-4.5,1.5,0.0,1.0
Age,66.0,employment,2,2,4.5,1.5,-4.5,1.5,0.0,1.0
Age,66.0,full,2,2,4.5,2.5,-4.5,-2.5,0.0,0.0
Age,66.0,geo,2,2,4.5,2.5,-4.5,-0.5,0.0,0.5
Age,66.0,transit,2,2,4.5,2.5,-4.5,-0.5,0.0,0.5
Age,67.0,demos,2,2,10.0,3.0,-10.0,3.0,0.0,0.5
Age,67.0,employment,2,2,10.0,3.0,-10.0,3.0,0.0,0.5
Age,67.0,full,2,2,10.0,1.0,-10.0,-1.0,0.0,0.5
Age,67.0,geo,2,2,10.0,1.0,-10.0,1.0,0.0,1.0
Age,67.0,transit,2,2,10.0,1.0,-10.0,-1.0,0.0,0.5
Age,68.0,demos,1,1,2.0,8.0,-2.0,8.0,1.0,0.0
Age,68.0,employment,1,1,2.0,8.0,-2.0,8.0,1.0,0.0
Age,68.0,full,1,1,2.0,4.0,-2.0,4.0,1.0,1.0
Age,68.0,geo,1,1,2.0,4.0,-2.0,4.0,1.0,1.0
Age,68.0,transit,1,1,2.0,4.0,-2.0,4.0,1.0,1.0
Age,70.0,demos,3,3,10.0,12.0,-10.0,-12.0,0.3333333333333333,0.3333333333333333
Age,70.0,employment,3,3,10.0,9.333333333333334,-10.0,-9.333333333333334,0.3333333333333333,0.3333333333333333
Age,70.0,full,3,3,10.0,9.333333333333334,-10.0,-9.333333333333334,0.3333333333333333,0.3333333333333333
Age,70.0,geo,3,3,10.0,10.666666666666666,-10.0,-9.333333333333334,0.3333333333333333,0.3333333333333333
Age,70.0,transit,3,3,10.0,10.666666666666666,-10.0,-9.333333333333334,0.3333333333333333,0.3333333333333333
Age,72.0,demos,1,1,1.0,1.0,-1.0,1.0,1.0,1.0
Age,72.0,employment,1,1,1.0,5.0,-1.0,5.0,1.0,0.0
Age,72.0,full,1,1,1.0,5.0,-1.0,5.0,1.0,0.0
Age,72.0,geo,1,1,1.0,1.0,-1.0,1.0,1.0,1.0
Age,72.0,transit,1,1,1.0,1.0,-1.0,1.0,1.0,1.0
Age,74.0,demos,1,1,4.0,2.0,4.0,2.0,1.0,1.0
Age,74.0,employment,1,1,4.0,2.0,4.0,2.0,1.0,1.0
Age,74.0,full,1,1,4.0,6.0,4.0,6.0,1.0,1.0
Age,74.0,geo,1,1,4.0,6.0,4.0,6.0,1.0,1.0
Age,74.0,transit,1,1,4.0,6.0,4.0,6.0,1.0,1.0
Age,75.0,demos,1,1,12.0,16.0,-12.0,-16.0,0.0,0.0
Age,75.0,employment,1,1,12.0,16.0,-12.0,-16.0,0.0,0.0
Age,75.0,full,1,1,12.0,12.0,-12.0,-12.0,0.0,0.0
Age,75.0,geo,1,1,12.0,16.0,-12.0,-16.0,0.0,0.0
Age,75.0,transit,1,1,12.0,12.0,-12.0,-12.0,0.0,0.0
Age,77.0,demos,1,1,14.0,11.0,-14.0,-11.0,0.0,0.0
Age,77.0,employment,1,1,14.0,11.0,-14.0,-11.0,0.0,0.0
Age,77.0,full,1,1,14.0,7.0,-14.0,-7.0,0.0,0.0
Age,77.0,geo,1,1,14.0,11.0,-14.0,-11.0,0.0,0.0
Age,77.0,transit,1,1,14.0,7.0,-14.0,-7.0,0.0,0.0
